food_code,food_name,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,image_url,,,,,,,,,,,,
ASC001,Hot tea (Garam Chai),68.16,16.14,2.58,0.39,0.53,2.58,0.00,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86,0.24,23.75,tea cup,,,,,,,,,,,,,
ASC002,Instant coffee,97.77,23.16,3.65,0.64,0.75,3.62,0.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,,,,,,,,,,,,,
ASC003,Espreso coffee,217.00,51.54,6.62,1.75,2.14,6.53,0.00,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.00,0.03,0.00,0.19,0.00,0.11,0.00,0.00,0.05,0.00,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,,,,,,,,,,,,,
ASC004,Iced tea,44.09,10.34,2.70,0.03,0.01,2.70,0.00,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.01,0.01,0.00,0.01,0.40,1.86,0.22,tall glass,,,,,,,,,,,,,
ASC005,Raw mango drink (Aam panna),152.39,35.92,9.05,0.16,0.03,7.49,0.61,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23,16.87,167.19,tall glass,,,,,,,,,,,,,
ASC006,Fruit Punch (with fresh juices),153.89,36.12,9.38,0.14,0.03,9.25,0.06,0.00,5.07,10.24,3.20,2.63,33.43,0.10,0.01,0.03,0.00,0.13,0.00,0.02,0.00,0.05,0.05,0.00,0.56,0.00,4.51,0.02,0.00,0.04,0.04,0.01,0.15,4.51,7.61,45.53,tall glass,,,,,,,,,,,,,
ASC007,Fruit Punch (with squashes),98.22,23.13,5.99,0.07,0.02,5.88,0.17,0.00,3.30,9.27,1.88,2.26,16.65,0.06,0.01,0.04,0.00,0.08,0.00,0.01,0.00,0.03,0.05,0.00,0.65,0.00,1.82,0.00,0.00,0.02,0.02,0.01,0.08,1.82,3.00,55.69,tall glass,,,,,,,,,,,,,
ASC008,Lemonade,88.66,20.80,5.48,0.03,0.01,5.47,0.02,0.00,1.84,0.67,0.73,28.52,5.73,0.05,0.01,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.47,0.00,0.60,0.00,0.00,0.01,0.01,0.00,0.01,0.60,1.51,53.70,glass,,,,,,,,,,,,,
ASC009,Lem-o-gin,91.63,21.52,5.55,0.08,0.03,5.38,0.13,0.00,2.20,1.59,1.86,28.13,14.17,0.09,0.01,0.07,0.00,0.08,0.00,0.02,0.00,0.01,0.10,0.00,1.00,0.00,0.82,0.00,0.00,0.02,0.01,0.01,0.03,0.82,1.59,59.48,glass,,,,,,,,,,,,,
ASC010,Cumin infused water (Jeere/Zeere ka pani),38.23,9.09,1.86,0.17,0.11,1.46,0.46,0.00,10.84,4.47,5.28,189.60,32.15,0.32,0.02,0.13,0.00,0.23,0.02,0.04,0.00,0.01,0.57,0.00,1.77,0.00,0.93,0.01,0.00,0.05,0.01,0.01,0.03,0.93,1.07,64.09,glass,,,,,,,,,,,,,
ASC011,Coco pine cooler,138.47,32.75,5.72,0.56,1.00,5.52,0.26,3.40,17.81,13.47,6.59,23.20,66.65,0.13,0.01,0.31,0.00,0.13,0.00,0.07,10.53,0.07,0.07,0.00,0.84,0.00,2.92,0.03,0.04,0.05,0.14,0.02,0.29,2.92,2.47,96.55,tall glass,,,,,,,,,,,,,
